Asset,Horizon,Model,Violation_Rate_%,Expected_%,LR_Stat,p_value,Kupiec,N_Obs
sp500,1w,LASSO_AR,4.0,5.0,7.522,0.0061,FAIL,3371
sp500,1w,LASSO_VIX,4.24,5.0,4.288,0.0384,FAIL,3371
sp500,1w,LASSO_CASSI,4.09,5.0,6.196,0.0128,FAIL,3371
sp500,1w,LGB_VIX,5.52,5.0,1.843,0.1747,PASS,3371
sp500,1w,LGB_CASSI,5.52,5.0,1.843,0.1747,PASS,3371
sp500,1m,LASSO_AR,3.53,5.0,17.013,0.0,FAIL,3371
sp500,1m,LASSO_VIX,5.9,5.0,5.487,0.0192,FAIL,3371
sp500,1m,LASSO_CASSI,6.47,5.0,14.034,0.0002,FAIL,3371
sp500,1m,LGB_VIX,7.53,5.0,39.732,0.0,FAIL,3371
sp500,1m,LGB_CASSI,6.97,5.0,24.694,0.0,FAIL,3371
sp500,3m,LASSO_AR,2.73,5.0,43.514,0.0,FAIL,3371
sp500,3m,LASSO_VIX,7.42,5.0,36.304,0.0,FAIL,3371
sp500,3m,LASSO_CASSI,10.8,5.0,181.782,0.0,FAIL,3371
sp500,3m,LGB_VIX,7.65,5.0,43.297,0.0,FAIL,3371
sp500,3m,LGB_CASSI,7.48,5.0,38.001,0.0,FAIL,3371
treasury,1w,LASSO_AR,4.78,5.0,0.361,0.5479,PASS,3371
treasury,1w,LASSO_VIX,7.12,5.0,28.341,0.0,FAIL,3371
treasury,1w,LASSO_CASSI,7.45,5.0,37.148,0.0,FAIL,3371
treasury,1w,LGB_VIX,7.65,5.0,43.297,0.0,FAIL,3371
treasury,1w,LGB_CASSI,7.51,5.0,38.862,0.0,FAIL,3371
treasury,1m,LASSO_AR,4.63,5.0,1.008,0.3155,PASS,3371
treasury,1m,LASSO_VIX,7.03,5.0,26.126,0.0,FAIL,3371
treasury,1m,LASSO_CASSI,9.02,5.0,93.507,0.0,FAIL,3371
treasury,1m,LGB_VIX,8.51,5.0,73.048,0.0,FAIL,3371
treasury,1m,LGB_CASSI,8.69,5.0,80.023,0.0,FAIL,3371
treasury,3m,LASSO_AR,4.92,5.0,0.041,0.8399,PASS,3371
treasury,3m,LASSO_VIX,8.31,5.0,65.256,0.0,FAIL,3371
treasury,3m,LASSO_CASSI,11.84,5.0,243.756,0.0,FAIL,3371
treasury,3m,LGB_VIX,9.88,5.0,133.179,0.0,FAIL,3371
treasury,3m,LGB_CASSI,9.7,5.0,124.496,0.0,FAIL,3371
eurusd,1w,LASSO_AR,3.03,5.0,32.013,0.0,FAIL,3371
eurusd,1w,LASSO_VIX,2.85,5.0,38.658,0.0,FAIL,3371
eurusd,1w,LASSO_CASSI,2.94,5.0,35.241,0.0,FAIL,3371
eurusd,1w,LGB_VIX,5.34,5.0,0.802,0.3706,PASS,3371
eurusd,1w,LGB_CASSI,5.34,5.0,0.802,0.3706,PASS,3371
eurusd,1m,LASSO_AR,1.78,5.0,96.792,0.0,FAIL,3371
eurusd,1m,LASSO_VIX,2.67,5.0,46.075,0.0,FAIL,3371
eurusd,1m,LASSO_CASSI,4.12,5.0,5.785,0.0162,FAIL,3371
eurusd,1m,LGB_VIX,6.17,5.0,9.075,0.0026,FAIL,3371
eurusd,1m,LGB_CASSI,6.67,5.0,18.092,0.0,FAIL,3371
eurusd,3m,LASSO_AR,1.96,5.0,84.589,0.0,FAIL,3371
eurusd,3m,LASSO_VIX,7.68,5.0,44.21,0.0,FAIL,3371
eurusd,3m,LASSO_CASSI,10.0,5.0,139.101,0.0,FAIL,3371
eurusd,3m,LGB_VIX,8.99,5.0,92.245,0.0,FAIL,3371
eurusd,3m,LGB_CASSI,11.21,5.0,205.7,0.0,FAIL,3371
oil,1w,LASSO_AR,4.95,5.0,0.015,0.9024,PASS,3371
oil,1w,LASSO_VIX,6.29,5.0,10.938,0.0009,FAIL,3371
oil,1w,LASSO_CASSI,6.38,5.0,12.441,0.0004,FAIL,3371
oil,1w,LGB_VIX,6.85,5.0,21.941,0.0,FAIL,3371
oil,1w,LGB_CASSI,6.91,5.0,23.299,0.0,FAIL,3371
oil,1m,LASSO_AR,4.63,5.0,1.008,0.3155,PASS,3371
oil,1m,LASSO_VIX,7.48,5.0,38.001,0.0,FAIL,3371
oil,1m,LASSO_CASSI,7.98,5.0,53.788,0.0,FAIL,3371
oil,1m,LGB_VIX,7.12,5.0,28.341,0.0,FAIL,3371
oil,1m,LGB_CASSI,7.51,5.0,38.862,0.0,FAIL,3371
oil,3m,LASSO_AR,4.57,5.0,1.36,0.2436,PASS,3371
oil,3m,LASSO_VIX,8.4,5.0,68.549,0.0,FAIL,3371
oil,3m,LASSO_CASSI,12.13,5.0,262.766,0.0,FAIL,3371
oil,3m,LGB_VIX,9.46,5.0,113.299,0.0,FAIL,3371
oil,3m,LGB_CASSI,9.4,5.0,110.569,0.0,FAIL,3371
credit_spread,1w,LASSO_AR,3.2,5.0,26.096,0.0,FAIL,3371
credit_spread,1w,LASSO_VIX,3.68,5.0,13.593,0.0002,FAIL,3371
credit_spread,1w,LASSO_CASSI,3.5,5.0,17.748,0.0,FAIL,3371
credit_spread,1w,LGB_VIX,5.37,5.0,0.946,0.3307,PASS,3371
credit_spread,1w,LGB_CASSI,5.19,5.0,0.257,0.6124,PASS,3371
credit_spread,1m,LASSO_AR,2.73,5.0,43.514,0.0,FAIL,3371
credit_spread,1m,LASSO_VIX,3.92,5.0,8.986,0.0027,FAIL,3371
credit_spread,1m,LASSO_CASSI,6.41,5.0,12.962,0.0003,FAIL,3371
credit_spread,1m,LGB_VIX,6.23,5.0,9.986,0.0016,FAIL,3371
credit_spread,1m,LGB_CASSI,5.87,5.0,5.141,0.0234,FAIL,3371
credit_spread,3m,LASSO_AR,3.14,5.0,27.99,0.0,FAIL,3371
credit_spread,3m,LASSO_VIX,5.96,5.0,6.211,0.0127,FAIL,3371
credit_spread,3m,LASSO_CASSI,11.3,5.0,210.978,0.0,FAIL,3371
credit_spread,3m,LGB_VIX,7.36,5.0,34.641,0.0,FAIL,3371
credit_spread,3m,LGB_CASSI,6.62,5.0,16.884,0.0,FAIL,3371
